Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Licence Category,Shellfish  licence (Y/N),Scallop licence (Y/N)
NORTH SHIELDS,UNKNOWN,FD106,MAR DE CRETA,C21048,12949,ANGLO-NORTH IRISH FPO LTD,45,516,790,760.5,2003,S,ESP,EXTERNAL WATERS: IOTC,N,N
NORTH SHIELDS,UNKNOWN,FD19,GENESIS,C18350,12990,ANGLO-NORTH IRISH FPO LTD,35.7,298,492,482.724,1977,S,NOR,CATEGORY A,N,N
NORTH SHIELDS,UNKNOWN,H144,JANNETJE CORNELIS,C21103,13100,THE FIFE FPO LTD,28.62,397,749,623.25,2018,S,ESP,CATEGORY A,N,N
NORTH SHIELDS,UNKNOWN,H758,CAROL ANN,A16756,50299,NON-SECTOR,10.97,12.51,98,88.967,1981,F,GBR,CATEGORY A,N,N
NORTH SHIELDS,UNKNOWN,HL288,IVY MAY,C20486,13108,NON-SECTOR,13.65,19.09,130.55,120.718,1965,W,DNK,CATEGORY A,N,Y
NORTH SHIELDS,UNKNOWN,SN14,HOLLIE EMMA,C21149,13034,NON-SECTOR,11.61,4.82,301.46,153.536,2007,F,GBR,CATEGORY A,Y,N
NORTH SHIELDS,UNKNOWN,SN199,ONWARD,A13225,12509,ANGLO-SCOTTISH FPO LTD,18.07,108,221,217.809,1981,W,GBR,CATEGORY A,N,N
NORTH SHIELDS,UNKNOWN,SU206,SHEARWATER II,A23359,13076,NON-SECTOR,10.64,8.94,89,81.546,1974,W,GBR,CATEGORY A,Y,N
NORTH SHIELDS,UNKNOWN,WY212,SUCCESS III,B11731,12768,NORTHERN IRELAND FPO LTD,20.9,174,470,354.874,1990,W,GBR,CATEGORY A,N,N
OBAN,FORT WILLIAM,OB1004,ENSIS,C18291,41516,NON-SECTOR,10.65,11.61,88,82.626,1992,F,NOR,OVER 10 METRE,N,N
OBAN,KILKEEL,OB181,PATHFINDER,A12929,41160,SCOTTISH FISHERMENS ORGANISATION,18.16,42,223.8,203.132,1964,W,GBR,OVER 10 METRE,N,Y
OBAN,KILKEEL,OB181,PATHFINDER,A12929,41160,SCOTTISH FISHERMENS ORGANISATION,18.16,42,223.8,203.132,1964,W,GBR,SANDEELS,N,Y
OBAN,LOCH BUIE (MULL),CN324,DAWN QUEST,A11205,40124,NON-SECTOR,11,11.96,96,87.86,1981,F,GBR,OVER 10 METRE,Y,N
OBAN,LOCH SCRIDAIN (ISLE MULL),CN140,DIGNITY JAY,B10295,44697,NON-SECTOR,11.7,11.7,246,157.266,1989,F,GBR,OVER 10 METRE,Y,N
OBAN,LUING,OB780,RAMBLING ROSE,A10331,40610,NON-SECTOR,16.81,48,272.29,217.003,1979,W,GBR,OVER 10 METRE,Y,Y
OBAN,LUING,OB918,DUNMARICK,A13533,40320,NON-SECTOR,11.01,12.32,85,80.198,1979,F,UNK,OVER 10 METRE,Y,N
OBAN,NEWQUAY,OB73,MY TARA,B11427,11412,NON-SECTOR,10.3,9.08,117,92.305,1990,F,GBR,OVER 10 METRE,Y,N
OBAN,OBAN,BA842,VERVINE,C18565,41093,NON-SECTOR,16.9,47,172,173.73,1970,W,GBR,OVER 10 METRE,N,Y
OBAN,OBAN,CN111,FREEDOM II,A10711,42289,SCOTTISH FISHERMENS ORGANISATION,16.74,74,208,186.005,1975,W,GBR,OVER 10 METRE,N,N
OBAN,OBAN,CY233,PRIMROSE,A11542,44252,NON-SECTOR,16.25,37,272,208.2,1968,W,GBR,OVER 10 METRE,N,Y
OBAN,OBAN,FR80,JANN DENISE,A11450,41003,NON-SECTOR,16.51,42,193,178.48,1971,W,GBR,OVER 10 METRE,N,Y
OBAN,OBAN,LH229,PROGRESS,A18033,40309,NON-SECTOR,10.15,8.61,86,80.416,1981,F,GBR,OVER 10 METRE,Y,N
OBAN,OBAN,OB1043,NICOLA JANE,A16424,50107,NON-SECTOR,11.32,20.22,203,140.818,1987,F,GBR,OVER 10 METRE,Y,N
OBAN,OBAN,OB127,URCHIN,B11497,44725,NON-SECTOR,11.98,11.38,140,118.108,1990,W,GBR,OVER 10 METRE,N,N
