,Time Stamp,Temperature (°C),Humidity (%),Pressure (hPa),Dew point (°C)
0,2019-07-15 18:59:09,17.25,73.54,1011.44,11.96
1,2019-07-15 19:14:12,17.04,71.0,1011.58,11.24
2,2019-07-15 19:29:15,16.73,74.75,1011.69,11.68
3,2019-07-15 19:44:19,16.6,76.82,1011.86,11.96
4,2019-07-15 19:59:22,16.29,79.23,1013.57,12.14
5,2019-07-15 20:14:25,15.45,87.75,1012.32,13.0
6,2019-07-15 20:29:28,14.75,97.2,1012.5,14.19
7,2019-07-15 20:44:32,13.46,100.0,1012.34,13.46
8,2019-07-15 20:59:35,13.04,100.0,1012.48,13.04
9,2019-07-15 21:14:38,12.65,100.0,1012.6,12.65
10,2019-07-15 21:29:41,12.26,100.0,1012.68,12.26
11,2019-07-15 21:44:45,10.92,100.0,1012.6,10.92
12,2019-07-15 21:59:48,10.39,100.0,1012.69,10.39
13,2019-07-15 22:14:58,9.94,100.0,1013.02,9.94
14,2019-07-15 22:30:01,10.12,100.0,1013.93,10.12
15,2019-07-15 22:45:04,10.19,100.0,1013.26,10.19
16,2019-07-15 23:00:07,9.5,100.0,1013.78,9.5
17,2019-07-15 23:15:11,9.6,100.0,1014.02,9.6
18,2019-07-15 23:30:14,10.06,100.0,1014.25,10.06
19,2019-07-16 00:00:20,11.03,100.0,1013.98,11.03
20,2019-07-16 00:15:24,10.48,100.0,1014.66,10.48
21,2019-07-16 00:30:27,10.25,100.0,1014.59,10.25
22,2019-07-16 00:45:30,10.94,100.0,1015.01,10.94
23,2019-07-16 01:00:34,10.69,100.0,1015.07,10.69
24,2019-07-16 01:15:37,10.86,100.0,1015.06,10.86
25,2019-07-16 01:30:40,11.0,100.0,1015.19,11.0
26,2019-07-16 01:45:43,10.9,100.0,1015.46,10.9
27,2019-07-16 02:00:46,11.11,100.0,1015.35,11.11
28,2019-07-16 02:15:50,11.02,100.0,1015.33,11.02
29,2019-07-16 02:30:53,11.17,100.0,1015.01,11.17
30,2019-07-16 02:45:56,11.52,100.0,1014.57,11.52
31,2019-07-16 03:00:59,11.46,100.0,1014.35,11.46
32,2019-07-16 03:16:03,11.11,100.0,1014.27,11.11
33,2019-07-16 03:31:06,10.9,100.0,1014.56,10.9
34,2019-07-16 03:46:09,11.25,100.0,1014.88,11.25
35,2019-07-16 04:01:15,11.5,100.0,1014.74,11.5
36,2019-07-16 04:16:18,11.45,100.0,1014.89,11.45
37,2019-07-16 04:31:21,11.73,100.0,1015.07,11.73
38,2019-07-16 04:46:24,11.88,100.0,1015.08,11.88
39,2019-07-16 05:01:28,11.88,100.0,1015.11,11.88
40,2019-07-16 05:31:55,12.22,100.0,1014.93,12.22
41,2019-07-16 05:46:58,12.2,100.0,1014.18,12.2
42,2019-07-16 06:02:01,12.0,100.0,1014.29,12.0
43,2019-07-16 06:17:05,11.77,100.0,1014.44,11.77
44,2019-07-16 06:47:32,12.76,100.0,1014.51,12.76
45,2019-07-16 07:02:35,13.33,100.0,1014.34,13.33
46,2019-07-16 07:17:38,13.67,100.0,1013.53,13.67
47,2019-07-16 07:32:41,14.07,100.0,1013.47,14.07
48,2019-07-16 07:47:45,14.58,100.0,1013.45,14.58
49,2019-07-16 08:02:48,14.69,100.0,1013.35,14.69
50,2019-07-16 08:17:51,15.36,100.0,1012.8,15.36
51,2019-07-16 08:32:54,15.58,100.0,1012.81,15.58
52,2019-07-16 08:47:58,16.02,100.0,1012.73,16.02
53,2019-07-16 09:03:01,16.13,100.0,1013.1,16.13
54,2019-07-16 09:18:04,16.36,100.0,1013.72,16.36
55,2019-07-16 09:33:07,16.41,100.0,1013.25,16.41
56,2019-07-16 09:48:11,16.62,99.99,1013.0,16.62
57,2019-07-16 10:03:14,16.68,98.42,1011.85,16.36
58,2019-07-16 10:18:17,16.8,97.68,1011.11,16.34
59,2019-07-16 10:33:20,16.43,100.0,1012.04,16.43
60,2019-07-16 10:48:24,16.16,100.0,1010.65,16.16
61,2019-07-16 11:03:27,16.27,100.0,1008.72,16.27
62,2019-07-16 11:18:30,16.49,100.0,1012.22,16.49
63,2019-07-16 11:33:33,16.92,100.0,1010.09,16.92
64,2019-07-16 11:48:36,16.85,100.0,1011.28,16.85
65,2019-07-16 12:03:40,17.11,100.0,1010.36,17.11
66,2019-07-16 12:18:43,17.33,100.0,1010.31,17.33
67,2019-07-16 12:33:46,18.18,96.03,1016.21,17.39
68,2019-07-16 12:48:49,18.87,92.15,1009.57,17.3
69,2019-07-16 13:03:53,18.24,92.33,1009.7,16.71
70,2019-07-16 13:18:56,18.02,92.6,1015.37,16.54
71,2019-07-16 13:33:59,17.56,95.33,1008.99,16.63
72,2019-07-16 13:49:02,17.1,100.0,1008.04,17.1
73,2019-07-16 14:04:05,17.31,100.0,1008.13,17.31
74,2019-07-16 14:19:09,16.71,100.0,1008.95,16.71
75,2019-07-16 14:34:12,15.76,100.0,1008.56,15.76
76,2019-07-16 14:49:15,15.82,100.0,1007.69,15.82
77,2019-07-16 15:04:18,16.27,100.0,1007.16,16.27
78,2019-07-16 15:19:22,16.33,100.0,1007.23,16.33
79,2019-07-16 15:34:25,16.36,100.0,1009.22,16.36
80,2019-07-16 15:49:28,16.31,100.0,1006.78,16.31
81,2019-07-16 16:04:31,16.13,100.0,1005.4,16.13
82,2019-07-16 16:19:34,15.97,100.0,1005.73,15.97
83,2019-07-16 16:34:38,16.0,100.0,1005.33,16.0
84,2019-07-16 16:49:41,15.82,100.0,1005.38,15.82
85,2019-07-16 17:04:44,15.8,100.0,1006.83,15.8
86,2019-07-16 17:19:47,15.82,100.0,1004.97,15.82
87,2019-07-16 17:34:51,15.97,100.0,1005.04,15.97
88,2019-07-16 17:49:54,16.02,100.0,1004.29,16.02
89,2019-07-16 18:04:57,17.01,100.0,1004.08,17.01
90,2019-07-16 18:20:00,15.61,100.0,1001.98,15.61
91,2019-07-16 18:35:04,15.79,100.0,1001.54,15.79
92,2019-07-16 18:50:07,15.89,100.0,1001.23,15.89
93,2019-07-16 19:05:10,15.67,100.0,1000.95,15.67
94,2019-07-16 19:20:13,15.92,100.0,1000.81,15.92
95,2019-07-16 19:35:17,15.9,100.0,1000.76,15.9
96,2019-07-16 19:50:20,15.69,100.0,1000.75,15.69
97,2019-07-16 20:05:23,16.07,100.0,1000.59,16.07
98,2019-07-16 20:20:26,15.92,100.0,1000.38,15.92
99,2019-07-16 20:35:30,16.01,100.0,1000.31,16.01
100,2019-07-16 20:50:33,16.0,100.0,1000.61,16.0
101,2019-07-16 21:05:36,16.09,100.0,1000.19,16.09
102,2019-07-16 21:20:39,16.21,100.0,1000.08,16.21
103,2019-07-16 21:35:42,16.37,100.0,1000.06,16.37
104,2019-07-16 21:50:46,16.27,100.0,999.96,16.27
105,2019-07-16 22:05:49,16.31,100.0,999.91,16.31
106,2019-07-16 22:20:52,16.35,100.0,999.72,16.35
107,2019-07-16 22:51:20,16.57,100.0,999.46,16.57
108,2019-07-16 23:06:23,16.68,100.0,999.45,16.68
109,2019-07-16 23:21:26,16.71,100.0,999.21,16.71
110,2019-07-16 23:36:29,16.77,100.0,999.09,16.77
111,2019-07-16 23:51:33,16.86,100.0,999.11,16.86
112,2019-07-17 00:06:36,16.91,100.0,998.93,16.91
113,2019-07-17 00:21:39,17.08,100.0,998.83,17.08
