Species,Common name,Year,No. sites,Collated Index,Time period
Thymelicus sylvestris,Small Skipper,1976,31,1.98,1976-2011
Thymelicus sylvestris,Small Skipper,1977,38,1.89,1976-2011
Thymelicus sylvestris,Small Skipper,1978,32,1.88,1976-2011
Thymelicus sylvestris,Small Skipper,1979,51,2.08,1976-2011
Thymelicus sylvestris,Small Skipper,1980,61,2.05,1976-2011
Thymelicus sylvestris,Small Skipper,1981,68,2.21,1976-2011
Thymelicus sylvestris,Small Skipper,1982,72,2.36,1976-2011
Thymelicus sylvestris,Small Skipper,1983,83,2.29,1976-2011
Thymelicus sylvestris,Small Skipper,1984,90,2.43,1976-2011
Thymelicus sylvestris,Small Skipper,1985,95,2.15,1976-2011
Thymelicus sylvestris,Small Skipper,1986,97,2.18,1976-2011
Thymelicus sylvestris,Small Skipper,1987,110,1.97,1976-2011
Thymelicus sylvestris,Small Skipper,1988,131,1.93,1976-2011
Thymelicus sylvestris,Small Skipper,1989,169,2.1,1976-2011
Thymelicus sylvestris,Small Skipper,1990,183,2.04,1976-2011
Thymelicus sylvestris,Small Skipper,1991,202,2.29,1976-2011
Thymelicus sylvestris,Small Skipper,1992,222,2.25,1976-2011
Thymelicus sylvestris,Small Skipper,1993,248,2.12,1976-2011
Thymelicus sylvestris,Small Skipper,1994,272,2.29,1976-2011
Thymelicus sylvestris,Small Skipper,1995,314,2.23,1976-2011
Thymelicus sylvestris,Small Skipper,1996,350,2.26,1976-2011
Thymelicus sylvestris,Small Skipper,1997,359,2.1,1976-2011
Thymelicus sylvestris,Small Skipper,1998,355,1.86,1976-2011
Thymelicus sylvestris,Small Skipper,1999,374,1.99,1976-2011
Thymelicus sylvestris,Small Skipper,2000,387,1.99,1976-2011
Thymelicus sylvestris,Small Skipper,2001,352,1.98,1976-2011
Thymelicus sylvestris,Small Skipper,2002,392,1.9,1976-2011
Thymelicus sylvestris,Small Skipper,2003,441,1.98,1976-2011
Thymelicus sylvestris,Small Skipper,2004,390,1.78,1976-2011
Thymelicus sylvestris,Small Skipper,2005,305,1.88,1976-2011
Thymelicus sylvestris,Small Skipper,2006,380,1.72,1976-2011
Thymelicus sylvestris,Small Skipper,2007,360,1.54,1976-2011
Thymelicus sylvestris,Small Skipper,2008,408,1.55,1976-2011
Thymelicus sylvestris,Small Skipper,2009,441,1.65,1976-2011
Thymelicus sylvestris,Small Skipper,2010,497,1.57,1976-2011
Thymelicus sylvestris,Small Skipper,2011,517,1.56,1976-2011
Thymelicus acteon,Lulworth Skipper,1992,4,2.54,1976-2011
Thymelicus acteon,Lulworth Skipper,1993,4,2.22,1976-2011
Thymelicus acteon,Lulworth Skipper,1994,5,2.28,1976-2011
Thymelicus acteon,Lulworth Skipper,1995,5,2.11,1976-2011
Thymelicus acteon,Lulworth Skipper,1996,5,1.84,1976-2011
Thymelicus acteon,Lulworth Skipper,1997,5,1.86,1976-2011
Thymelicus acteon,Lulworth Skipper,1998,5,2.17,1976-2011
Thymelicus acteon,Lulworth Skipper,1999,5,2.43,1976-2011
Thymelicus acteon,Lulworth Skipper,2000,6,2.39,1976-2011
Thymelicus acteon,Lulworth Skipper,2001,6,2.09,1976-2011
Thymelicus acteon,Lulworth Skipper,2002,6,2.25,1976-2011
Thymelicus acteon,Lulworth Skipper,2003,6,2.24,1976-2011
Thymelicus acteon,Lulworth Skipper,2004,5,2.14,1976-2011
Thymelicus acteon,Lulworth Skipper,2005,3,2,1976-2011
Thymelicus acteon,Lulworth Skipper,2006,7,1.96,1976-2011
Thymelicus acteon,Lulworth Skipper,2007,6,1.67,1976-2011
Thymelicus acteon,Lulworth Skipper,2008,11,1.55,1976-2011
Thymelicus acteon,Lulworth Skipper,2009,11,1.43,1976-2011
Thymelicus acteon,Lulworth Skipper,2010,14,1.28,1976-2011
Thymelicus acteon,Lulworth Skipper,2011,12,1.55,1976-2011
Hesperia comma,Silver-spotted Skipper,1979,5,1.25,1976-2011
Hesperia comma,Silver-spotted Skipper,1980,7,1.82,1976-2011
Hesperia comma,Silver-spotted Skipper,1981,7,1.49,1976-2011
Hesperia comma,Silver-spotted Skipper,1982,8,1.1,1976-2011
Hesperia comma,Silver-spotted Skipper,1983,9,1.48,1976-2011
Hesperia comma,Silver-spotted Skipper,1984,10,2.08,1976-2011
Hesperia comma,Silver-spotted Skipper,1985,9,1.63,1976-2011
Hesperia comma,Silver-spotted Skipper,1986,9,1.5,1976-2011
Hesperia comma,Silver-spotted Skipper,1987,13,1.65,1976-2011
Hesperia comma,Silver-spotted Skipper,1988,13,1.46,1976-2011
Hesperia comma,Silver-spotted Skipper,1989,18,1.8,1976-2011
Hesperia comma,Silver-spotted Skipper,1990,24,1.95,1976-2011
Hesperia comma,Silver-spotted Skipper,1991,23,2.07,1976-2011
Hesperia comma,Silver-spotted Skipper,1992,25,1.94,1976-2011
Hesperia comma,Silver-spotted Skipper,1993,26,1.91,1976-2011
Hesperia comma,Silver-spotted Skipper,1994,29,1.83,1976-2011
Hesperia comma,Silver-spotted Skipper,1995,35,2.16,1976-2011
Hesperia comma,Silver-spotted Skipper,1996,34,2.15,1976-2011
Hesperia comma,Silver-spotted Skipper,1997,32,2.45,1976-2011
Hesperia comma,Silver-spotted Skipper,1998,36,2.41,1976-2011
Hesperia comma,Silver-spotted Skipper,1999,41,2.48,1976-2011
Hesperia comma,Silver-spotted Skipper,2000,40,2.3,1976-2011
Hesperia comma,Silver-spotted Skipper,2001,31,2.25,1976-2011
Hesperia comma,Silver-spotted Skipper,2002,34,2.15,1976-2011
Hesperia comma,Silver-spotted Skipper,2003,36,2.44,1976-2011
Hesperia comma,Silver-spotted Skipper,2004,36,2.38,1976-2011
Hesperia comma,Silver-spotted Skipper,2005,31,2.4,1976-2011
Hesperia comma,Silver-spotted Skipper,2006,35,2.43,1976-2011
Hesperia comma,Silver-spotted Skipper,2007,27,2.22,1976-2011
Hesperia comma,Silver-spotted Skipper,2008,35,2.01,1976-2011
Hesperia comma,Silver-spotted Skipper,2009,37,2.1,1976-2011
Hesperia comma,Silver-spotted Skipper,2010,25,2.39,1976-2011
Hesperia comma,Silver-spotted Skipper,2011,32,2.33,1976-2011
Ochlodes sylvanus,Large Skipper,1976,35,1.85,1976-2011
Ochlodes sylvanus,Large Skipper,1977,45,1.81,1976-2011
Ochlodes sylvanus,Large Skipper,1978,47,1.99,1976-2011
Ochlodes sylvanus,Large Skipper,1979,68,1.93,1976-2011
Ochlodes sylvanus,Large Skipper,1980,67,1.97,1976-2011
Ochlodes sylvanus,Large Skipper,1981,75,1.76,1976-2011
Ochlodes sylvanus,Large Skipper,1982,79,2.06,1976-2011
Ochlodes sylvanus,Large Skipper,1983,91,2.07,1976-2011
Ochlodes sylvanus,Large Skipper,1984,99,2.29,1976-2011
Ochlodes sylvanus,Large Skipper,1985,102,2.07,1976-2011
Ochlodes sylvanus,Large Skipper,1986,113,2.13,1976-2011
Ochlodes sylvanus,Large Skipper,1987,126,2.14,1976-2011
Ochlodes sylvanus,Large Skipper,1988,146,2.13,1976-2011
Ochlodes sylvanus,Large Skipper,1989,183,2.05,1976-2011
Ochlodes sylvanus,Large Skipper,1990,207,1.95,1976-2011
Ochlodes sylvanus,Large Skipper,1991,228,1.85,1976-2011
Ochlodes sylvanus,Large Skipper,1992,255,2.17,1976-2011
Ochlodes sylvanus,Large Skipper,1993,288,2.14,1976-2011
Ochlodes sylvanus,Large Skipper,1994,316,2.2,1976-2011
Ochlodes sylvanus,Large Skipper,1995,365,2.21,1976-2011
Ochlodes sylvanus,Large Skipper,1996,408,2.16,1976-2011
Ochlodes sylvanus,Large Skipper,1997,411,2.08,1976-2011
Ochlodes sylvanus,Large Skipper,1998,419,1.91,1976-2011
Ochlodes sylvanus,Large Skipper,1999,439,1.92,1976-2011
Ochlodes sylvanus,Large Skipper,2000,459,1.96,1976-2011
Ochlodes sylvanus,Large Skipper,2001,433,1.93,1976-2011
Ochlodes sylvanus,Large Skipper,2002,482,1.97,1976-2011
Ochlodes sylvanus,Large Skipper,2003,545,1.99,1976-2011
Ochlodes sylvanus,Large Skipper,2004,481,1.95,1976-2011
Ochlodes sylvanus,Large Skipper,2005,459,1.88,1976-2011
Ochlodes sylvanus,Large Skipper,2006,507,1.92,1976-2011
Ochlodes sylvanus,Large Skipper,2007,444,1.85,1976-2011
Ochlodes sylvanus,Large Skipper,2008,482,1.71,1976-2011
Ochlodes sylvanus,Large Skipper,2009,541,1.93,1976-2011
Ochlodes sylvanus,Large Skipper,2010,584,2.04,1976-2011
Ochlodes sylvanus,Large Skipper,2011,576,2.03,1976-2011
Erynnis tages,Dingy Skipper,1976,13,2.19,1976-2011
Erynnis tages,Dingy Skipper,1977,15,1.78,1976-2011
Erynnis tages,Dingy Skipper,1978,20,1.95,1976-2011
Erynnis tages,Dingy Skipper,1979,29,2.14,1976-2011
Erynnis tages,Dingy Skipper,1980,33,2.12,1976-2011
Erynnis tages,Dingy Skipper,1981,32,1.94,1976-2011
Erynnis tages,Dingy Skipper,1982,39,2.1,1976-2011
Erynnis tages,Dingy Skipper,1983,41,2.11,1976-2011
Erynnis tages,Dingy Skipper,1984,48,2.14,1976-2011
Erynnis tages,Dingy Skipper,1985,48,2.14,1976-2011
Erynnis tages,Dingy Skipper,1986,56,2,1976-2011
Erynnis tages,Dingy Skipper,1987,66,2.12,1976-2011
Erynnis tages,Dingy Skipper,1988,85,2.18,1976-2011
Erynnis tages,Dingy Skipper,1989,106,1.99,1976-2011
