Species,Common name,Year,No. sites,Collated Index,Time period
Polyommatus bellargus,Adonis Blue,1981,9,1.56,1976-2016
Polyommatus bellargus,Adonis Blue,1980,9,1.82,1976-2016
Polyommatus bellargus,Adonis Blue,1983,11,2.11,1976-2016
Polyommatus bellargus,Adonis Blue,1984,12,2.3,1976-2016
Polyommatus bellargus,Adonis Blue,1985,17,1.98,1976-2016
Polyommatus bellargus,Adonis Blue,1986,19,2.14,1976-2016
Polyommatus bellargus,Adonis Blue,1987,20,1.61,1976-2016
Polyommatus bellargus,Adonis Blue,1988,23,1.45,1976-2016
Polyommatus bellargus,Adonis Blue,1989,30,1.81,1976-2016
Polyommatus bellargus,Adonis Blue,1990,32,2.16,1976-2016
Polyommatus bellargus,Adonis Blue,1991,35,1.93,1976-2016
Polyommatus bellargus,Adonis Blue,1992,39,1.84,1976-2016
Polyommatus bellargus,Adonis Blue,1993,40,1.25,1976-2016
Polyommatus bellargus,Adonis Blue,1994,42,1.68,1976-2016
Polyommatus bellargus,Adonis Blue,1995,49,1.62,1976-2016
Polyommatus bellargus,Adonis Blue,1996,55,2.32,1976-2016
Polyommatus bellargus,Adonis Blue,1997,58,2.34,1976-2016
Polyommatus bellargus,Adonis Blue,1998,58,1.98,1976-2016
Polyommatus bellargus,Adonis Blue,1999,58,1.93,1976-2016
Polyommatus bellargus,Adonis Blue,2000,61,2.02,1976-2016
Polyommatus bellargus,Adonis Blue,2001,50,1.82,1976-2016
Polyommatus bellargus,Adonis Blue,2002,53,1.9,1976-2016
Polyommatus bellargus,Adonis Blue,2003,59,2.39,1976-2016
Polyommatus bellargus,Adonis Blue,2004,51,2.26,1976-2016
Polyommatus bellargus,Adonis Blue,2005,56,2.38,1976-2016
Polyommatus bellargus,Adonis Blue,2006,69,2.54,1976-2016
Polyommatus bellargus,Adonis Blue,2007,68,1.97,1976-2016
Polyommatus bellargus,Adonis Blue,2008,67,2.06,1976-2016
Polyommatus bellargus,Adonis Blue,2009,65,2.17,1976-2016
Polyommatus bellargus,Adonis Blue,2010,73,2.42,1976-2016
Polyommatus bellargus,Adonis Blue,2011,81,2.14,1976-2016
Polyommatus bellargus,Adonis Blue,2012,58,2.1,1976-2016
Polyommatus bellargus,Adonis Blue,2013,73,2.33,1976-2016
Polyommatus bellargus,Adonis Blue,2014,89,1.97,1976-2016
Polyommatus bellargus,Adonis Blue,2015,92,1.97,1976-2016
Polyommatus bellargus,Adonis Blue,2016,92,1.88,1976-2016
Polyommatus bellargus,Adonis Blue,1979,7,1.66,1976-2016
Polyommatus bellargus,Adonis Blue,1982,11,2.18,1976-2016
Satyrium pruni,Black Hairstreak,2003,6,1.78,1976-2016
Satyrium pruni,Black Hairstreak,2004,8,1.99,1976-2016
Satyrium pruni,Black Hairstreak,2001,7,1.93,1976-2016
Satyrium pruni,Black Hairstreak,2000,6,2,1976-2016
Satyrium pruni,Black Hairstreak,1998,5,1.63,1976-2016
Satyrium pruni,Black Hairstreak,1997,6,1.78,1976-2016
Satyrium pruni,Black Hairstreak,1996,6,2.33,1976-2016
Satyrium pruni,Black Hairstreak,1995,5,2.37,1976-2016
Satyrium pruni,Black Hairstreak,2016,11,2.07,1976-2016
Satyrium pruni,Black Hairstreak,2015,9,2.34,1976-2016
Satyrium pruni,Black Hairstreak,2014,10,1.95,1976-2016
Satyrium pruni,Black Hairstreak,2013,10,1.47,1976-2016
Satyrium pruni,Black Hairstreak,2012,10,0.6,1976-2016
Satyrium pruni,Black Hairstreak,2011,10,2.19,1976-2016
Satyrium pruni,Black Hairstreak,2010,11,2.57,1976-2016
Satyrium pruni,Black Hairstreak,2009,10,2.21,1976-2016
Satyrium pruni,Black Hairstreak,2008,9,2.04,1976-2016
Satyrium pruni,Black Hairstreak,2007,10,2.33,1976-2016
Satyrium pruni,Black Hairstreak,2006,10,2.36,1976-2016
Satyrium pruni,Black Hairstreak,2005,7,1.97,1976-2016
Satyrium pruni,Black Hairstreak,2002,6,2.08,1976-2016
Gonepteryx rhamni,Brimstone,1986,107,1.86,1976-2016
Gonepteryx rhamni,Brimstone,1987,124,1.78,1976-2016
Gonepteryx rhamni,Brimstone,1988,143,1.94,1976-2016
Gonepteryx rhamni,Brimstone,1989,175,1.89,1976-2016
Gonepteryx rhamni,Brimstone,1990,202,1.95,1976-2016
Gonepteryx rhamni,Brimstone,1991,225,2.1,1976-2016
Gonepteryx rhamni,Brimstone,1992,257,2.14,1976-2016
Gonepteryx rhamni,Brimstone,1993,280,1.98,1976-2016
Gonepteryx rhamni,Brimstone,1994,301,1.87,1976-2016
Gonepteryx rhamni,Brimstone,1995,360,1.97,1976-2016
Gonepteryx rhamni,Brimstone,1996,389,2.13,1976-2016
Gonepteryx rhamni,Brimstone,1997,423,2.05,1976-2016
