Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
1,Woodwalton Farm,TL210810,"521,000","281,000","2,038",England,12,40,"1,976","2,015",UKBMS
2,Bevill's Wood,TL200790,"520,000","279,000","1,532",England,10,39,"1,976","2,015",UKBMS
3,Holkham,TF870450,"587,000","345,000","3,454",England,6,38,"1,976","2,015",UKBMS
4,Monks Wood,TL200800,"520,000","280,000","2,900",England,14,43,"1,973","2,015",UKBMS
5,Monks Wood Fields,TL200800,"520,000","280,000",,England,15,1,"1,976","1,976",UKBMS
6,Yarner Wood,SX770780,"277,000","78,000","3,133",England,11,39,"1,976","2,015",UKBMS
7,Brockwell's Farm,ST470890,"347,000","189,000",812,Wales,7,10,"1,976","1,985",UKBMS
8,Old Winchester Hill,SU64502080,"464,500","120,800","1,792",England,10,40,"1,976","2,015",UKBMS
9,Kingley Vale,SU820100,"482,000","110,000","6,289",England,15,40,"1,976","2,015",UKBMS
10,Oxwich,SS5087,"250,000","187,000","4,020",Wales,13,39,"1,976","2,015",UKBMS
11,Rhinog,SH650270,"265,000","327,000","2,269",Wales,6,5,"1,976","1,980",UKBMS
12,Leigh Marshes,TQ820850,"582,000","185,000","1,776",England,8,38,"1,976","2,014",UKBMS
13,Craig y Cilau,SO180160,"318,000","216,000","3,521",Wales,3,18,"1,976","1,997",UKBMS
14,Gomm Valley,SU890920,"489,000","192,000","1,219",England,9,38,"1,977","2,015",UKBMS
15,Foxholes,SP250200,"425,000","220,000","2,909",England,5,40,"1,976","2,015",UKBMS
16,Swanage,SZ020810,"402,000","81,000","3,397",England,15,38,"1,976","2,015",UKBMS
17,Buttlers Hanging,SU810960,"481,000","196,000","1,158",England,10,17,"1,976","2,015",UKBMS
18,Woodhurst,TL310750,"531,000","275,000","2,303",England,13,10,"1,976","1,985",UKBMS
19,Studland Heath,SZ020790,"402,000","79,000","3,665",England,14,40,"1,976","2,015",UKBMS
20,Ham Street Woods,TR000340,"600,000","134,000","1,711",England,15,10,"1,976","2,014",UKBMS
21,Castor Hanglands,TF11800160,"511,800","301,600","1,624",England,8,40,"1,976","2,015",UKBMS
22,Coedydd Maentwrog,SH600400,"260,000","340,000","2,099",Wales,12,9,"1,976","1,985",UKBMS
23,Ebbor Gorge,ST52804880,"352,800","148,800","2,294",England,8,33,"1,976","2,009",UKBMS
24,Dyfi,SN600930,"260,000","293,000","2,414",Wales,5,40,"1,976","2,015",UKBMS
25,Chippenham Fen,TL650690,"565,000","269,000","3,255",England,8,40,"1,976","2,015",UKBMS
26,Rostherne Mere,SJ740840,"374,000","384,000","5,360",England,15,24,"1,976","2,015",UKBMS
27,Holme Fen,TL210890,"521,000","289,000","4,438",England,8,38,"1,976","2,014",UKBMS
28,Walberswick,TM470740,"647,000","274,000","3,577",England,10,35,"1,976","2,014",UKBMS
29,Aston Rowant (N),SU730960,"473,000","196,000","3,400",England,10,39,"1,976","2,015",UKBMS
30,Aston Rowant (S),SU720960,"472,000","196,000","2,367",England,10,40,"1,976","2,015",UKBMS
31,Waterperry Wood,SP6009,"460,000","209,000","1,760",England,10,36,"1,976","2,014",UKBMS
32,Wye & Crundale Down,TR070450,"607,000","145,000","1,950",England,12,35,"1,976","2,015",UKBMS
33,Roudsea Wood (old),SD330820,"333,000","482,000",,England,15,2,"1,977","1,978",UKBMS
34,Potton Wood,TL250500,"525,000","250,000","3,960",England,9,40,"1,976","2,015",UKBMS
35,Stow Longa,TL120690,"512,000","269,000","1,506",England,5,2,"1,976","1,977",UKBMS
36,Bure Marshes,TG340160,"634,000","316,000","1,671",England,12,39,"1,976","2,015",UKBMS
37,Upper Teesdale,NY880280,"388,000","528,000","1,411",England,7,36,"1,977","2,015",UKBMS
38,Avon Gorge (old),ST550730,"355,000","173,000",,England,11,1,"1,976","1,976",UKBMS
39,Saltfleetby,TF460930,"546,000","393,000","2,929",England,12,38,"1,977","2,014",UKBMS
40,Tregarron Bog,SN680620,"268,000","262,000","3,649",Wales,3,1,"1,977","1,977",UKBMS
41,Vane Farm,NO160990,"316,000","799,000","2,253",Scotland,6,20,"1,977","2,009",UKBMS
42,Ben Lawers,NN6139,"261,000","739,000","3,432",Scotland,6,35,"1,977","2,015",UKBMS
43,Leighton Moss,SD48207500,"348,200","475,000","5,922",England,15,38,"1,977","2,015",UKBMS
44,Radipole Lake,SY670800,"367,000","80,000","1,649",England,6,26,"1,977","2,015",UKBMS
45,Gibralter Point,TF560580,"556,000","358,000","4,570",England,12,36,"1,977","2,015",UKBMS
46,Hatton Green,SP220670,"422,000","267,000",,England,15,2,"1,977","1,978",UKBMS
47,Skomer,SM72900930,"172,900","209,300","3,012",Wales,9,35,"1,977","2,015",UKBMS
48,Hampstead Heath,TQ270863,"527,000","186,300","1,856",England,11,36,"1,977","2,015",UKBMS
49,Inverpolly,NC000100,"200,000","910,000","3,469",Scotland,13,14,"1,977","1,990",UKBMS
50,Swale,TR03606750,"603,600","167,500",,England,8,2,"1,977","1,978",UKBMS
51,Loch Garten,NH970180,"297,000","818,000","3,645",Scotland,11,36,"1,977","2,015",UKBMS
52,Avon Gorge 1,ST560730,"356,000","173,000","5,761",England,11,5,"1,977","1,981",UKBMS
